ID вопроса,Раздел,Жизненная ситуация,Интент,Дополнительные темы,Длина,Фрагмент вопроса
8296,"Авто, ДТП, штрафы и транспорт","Такси, аренда, каршеринг",Документы и сроки,"Работа, зарплата и трудовые права",374,"Сотрудники МАДИ в Москве остановили и выписали протокол за отсутствие шашки такси на крыше автомобиля. Что ожидать мне от постановления, как водителю и выпишут ли 50тыс на юр лицо? Сколько времени рассматривается дело? Просто рассмотрение уже два раза переносили из за того что сотрудники не предоставили фото путевого листа при рассмотрении дела. имеется ли какие то сроки?"
8297,"Потребители, покупки и услуги",Онлайн-курсы и образовательные услуги,Документы и сроки,"Образование, школа и вуз, Документы, реестры и персональные данные, Работа, зарплата и трудовые права",561,"Нарушают ли закон работники мфц в праве на получение повышенной соц. стипендии студенту, отдельно проживающему в другом городе (в общежитии), обучающемуся на 1 курсе ВУЗа на ""отлично"". На госуслуги пришёл отказ в предоставлении справки для дальшейшего оформления повышенной соц. стипендии, мотивируя это тем, что обучение в ВУЗе очно (на бюджете) не считается уважительной причиной в том, чтобы не получать доходы. еще порекомендовали пойти на биржу труда... когда же(простите работать, если человек учится очно? )... очень странно как то. Помогите разобраться."
8298,"Военная служба, мобилизация и СВО",Гибель военнослужащего и права семьи,Оформить/получить,"Миграция, гражданство и въезд в РФ, Семья, дети и отношения, Наследство, завещание и дарение",373,"Добрый день! Интересует вопрос, могу ли я (дочь 19 лет) получить выплаты СВО после смерти отца. Свидетельства о смерти у меня нет. Из Луганской области мама меня вывезла еще в 2016 году, на данный момент обучаюсь в техникуме (очная форма 5 курс) в Польше. Имею гражданство Украины. О смерти отца узнала недавно от дальних родственников, погиб в сентябре 2025 года. Спасибо!"
8299,"Недвижимость, жильё и земля","Доли, собственность и права жильцов","Понять, что делать","Семья, дети и отношения, Долги, кредиты, банки и приставы, Потребители, покупки и услуги",411,"Здравствуйте! я и мои сестры не живем с родителями уже более 10 лет. они жили в квартире и не платили за неё. недавно мне и моей сестре пришли уведомления с госуслуг о долге за квартиру в размере 500 тысяч. мне 21 год, сестре недавно 18 исполнилось, мы с родителями не жили и не общаемся, но в этой квартире имеем долю собственности. что делать в такой ситуации? как решить проблему, чтобы не платить этот долг?"
8300,"Недвижимость, жильё и земля","Покупка, продажа и риски сделки",Проверить право/законность,"Семья, дети и отношения",202,"Можно ли выкупить доли у мамы и брата под материнский капитал, в доме выделены доли: мне, маме, брату в 2011 году дом был куплен также под материнский капитал. Ребенку нет 3 лет. Есть квартира в ипотеку"
8301,"Долги, кредиты, банки и приставы",Коллекторы и взыскание долгов,Оценить риски сделки/действия,"Потребители, покупки и услуги, Уголовные вопросы, полиция и безопасность",337,"Имеет ли конкретные обязательства перед государством гражданское лицо, не имеющее возможности скажем в силу своей неопытности, либо необходимости в пользовании приложения Гос. услуги и есть ли какие то нарушения перед государством? Есть ли какие то последствия, либо административные взыскания, не говоря уже об уголовных для граждан РФ?"
8302,"Семья, дети и отношения",Развод и раздел имущества,"Понять, что делать","Военная служба, мобилизация и СВО, Соцподдержка, пенсии, инвалидность и льготы",761,"Здравствуйте! На СВО погиб отец моих детей ( мы официально были в разводе ) После его гибели все положенные выплаты пришли на троих детей ( двоих моих и старшую дочь от первого брака погибшего ) в равных долях, кроме губернаторской выплаты. По губернаторской выплате старшая дочь получила миллион рублей, а двое младших - 500 тысяч на двоих. Все остальные выплаты пришли на троих детей в равных долях ( других родственников у погибшего нет ) Я позвонила в центр социальной защиты Мурманской области, объяснила ситуацию, и мне сказали, что да, так не должно быть, что по идее старшая совершеннолетняя дочь должна поделиться, чтобы выплата была для всех детей в равных долях. Как быть в такой ситуац..."
8303,"Работа, зарплата и трудовые права","Дисциплина, условия труда и жалобы",Документы и сроки,"Потребители, покупки и услуги",610,"Как обезопасить себя, если нельзя отказаться от сбора биометрии в спортивной бюджетной организации? Здравствуйте! В нашей бюджетной организации заставляют делать фото (это же биометрия? ) для программы 1С: ЗУП под роспись. Это даже не для оформления пропусков, уточняю... Я не возражала бы, если бы эта биометрия использовалась только внутри организации. Однако никто не дает никаких гарантий, начальник отвечает, что данные уйдут в вышестоящую организацию. Вопрос. Для чего с бюджетников, выкручивая руки, собирают биометрию и есть ли вероятность утечки или пакетной передачи данных сотрудников куда- то еще??"
8304,"Военная служба, мобилизация и СВО","Выплаты, ранения и госпиталь СВО",Оценить риски сделки/действия,"Соцподдержка, пенсии, инвалидность и льготы",973,"Здравствуйте. Хотел бы уточнить правовые риски, связанные с распространением информации о VPN-сервисе. Если официальный представитель сервиса размещает информацию о VPN в своём личном профиле (например, в мессенджере или социальной сети), может ли это повлечь нарушение закона? Изменится ли правовая оценка, если такая информация публикуется не просто в профиле, а в личном канале (например, [контакт скрыт платформой]-канале), где есть аудитория? Как влияет на правовую квалификацию тот факт, что сам сервис: не заявляет о предназначении для обхода блокировок; не содержит инструкций или упоминаний об обходе ограничений доступа к запрещённым ресурсам? Снижает ли юридические риски наличие в поль..."
8305,"Уголовные вопросы, полиция и безопасность","Угрозы, насилие, побои",Документы и сроки,,752,"Вечером шел с тренировки (занимаюсь боксом), увидел как парень угрожает девушке, та плачет. Подошел разобраться. Пробил ему двойку. У него пошла кровь из носа. Отвечать он мне не стал, ушел. Девушка тоже ушла. В результате он накатал заяву. Я сломал ему нос, средний вред здоровью. Девушка сказала, что я сам начал драку. Теперь я подсудимый. Причинение вреда здоровью средней тяжести. В суде огласили, что я являюсь боксером, использовал свои навыки в драке. Прокурор попросил для меня два года колонии реально. Я вину не отрицал, сказал, что должен был разобраться с ""потерпевшим"" по-мужски, раз он угрожал девушке, хоть та это и отрицает. Я простой парень, ранее не судим. Какая вероятность реа..."
8306,"Недвижимость, жильё и земля","Регистрация, прописка и выселение",Проверить право/законность,"Работа, зарплата и трудовые права",371,"Добрый день! Подскажите, пожалуйста, можно ли в нежилом коммерческом здании Торгового центра выделить комнату под статус ""жилое"" помещение? Для регистрации (в Амине) официально оформленных работников (мигрантов). Какие документы и условия (подвальное помещение, с окнами/без, раковина/туалетная комната) необходимы для перевода помещения (ОДНОЙ КОМНАТЫ) в статус ""жилое""?"
8307,"Потребители, покупки и услуги","Товар, гарантия и маркетплейсы",Проверить право/законность,"Семья, дети и отношения, Работа, зарплата и трудовые права, Уголовные вопросы, полиция и безопасность",640,"Женщина попросила своего 14-летнего сына вынести из магазина товар, не сообщив ему о преступном характере действий. Сама она осталась у входа, чтобы отвлечь внимание сотрудников магазина. Сын, не осознавая противоправности своих действий, взял с полки упаковку чипсов и конфеты (общая стоимость — около 300 рублей) и вышел из магазина. Мать забрала товар и распорядилась им по своему усмотрению. Можно ли квалифицировать действия женщины как мелкое хищение с посредственным исполнением (ч. 1 ст. 7. 27 КоАП РФ). Учитывая тот факт, что сын не будет подлежать ответственности в связи с недостижением возраста административной ответственности."
8308,"Семья, дети и отношения","Опека, попечительство и несовершеннолетние",Проверить право/законность,"Недвижимость, жильё и земля",174,Можно ли поменять в квартире бывшего мужа где прописан наш несовершеннолетний ребенок входную дверь т. к. дверь старая не закрывается а мужа не будет в квартире полтора года?
8309,"Работа, зарплата и трудовые права","Увольнение, сокращение и восстановление","Понять, что делать","Бизнес, ИП, самозанятость и налоги",428,"Добрый день, предприятие (ООО) закрывает офис в СПб, уже демонтируют и вывозят оборудование, договариваются с некоторыми сотрудниками уйти по соглашению сторон. Но еще не было уведомления о ликвидации организации, и уведомления о сокращении также не было. Что делать если работодатель офис закроет, я не смогу находится на рабочем месте, а уведомление о сокращении так и не пришлет? Могут ли уволить в данной ситуации за прогул?"
8310,"Работа, зарплата и трудовые права","Зарплата, премии и индексация",Документы и сроки,"Суды, иски и защита прав",200,"Мне должны оплатить сверхурочные часы, но я не знаю как их правильно считать. обращаюсь в суд в связи с появившимся трудовым спором по поводу их оплаты. нужно ли считать их самому вручную? и зарплату?"
8311,"Миграция, гражданство и въезд в РФ",Патент и работа иностранца,Документы и сроки,"Работа, зарплата и трудовые права, Недвижимость, жильё и земля, Уголовные вопросы, полиция и безопасность",463,"Здравствуйте! Работник с гражданством - Таджикистан, работает по трудовому договору (патент). Может ли мигрант проживать и быть зарегистрированным в Торговом центре (по Амине)? Если да, то какое должно быть выделено помещение для проживания в Торговом центре? Выделили ему подсобное нежилое помещение (кровать, стол), проверка МВД потребовали документы на помещение. Мы не понимаем какие нужны документы и какой должен быть СТАТУС у помещения. Заранее благодарим."
8312,"Работа, зарплата и трудовые права","Трудовой договор, график и обязанности","Понять, что делать",,93,"Начальница составила график дежурств и заставляет меня дежурить в праздничные дни, что делать"
8313,"Авто, ДТП, штрафы и транспорт",Общее / смешанная ситуация,Проверить право/законность,"Семья, дети и отношения, Уголовные вопросы, полиция и безопасность, Суды, иски и защита прав",635,"Можно ли что бы ГАИ руководствовались моим заявлением в полицию, и срок уже прошел?! Лишили прав, написал заявление в полицию о утере, что бы пошел срок исчисления. Прошел год, я пришел в гаи узнать точную дату, что бы сдавать Теорию, а они говорят: ВЫ НЕ ЧЕГО НЕ ПИСАЛИ! То что вы написали в полицию а не в ГАИ это ваши проблемы…(и попросила меня написать новое заявление уже в ГАИ, что бы пошел срок) Я написал в УМВД, что бы они руководствовались моим самым первым заявлением и срок лишения уже прошел, на что они дали ответ(прикрепил). Но дали ответ как по мне, не совсем на то что я просил…Есть ли смысл дальше обжаловать это всё?"
8314,"Миграция, гражданство и въезд в РФ",Общее / смешанная ситуация,"Понять, что делать",,159,"Что будет за приобретение игры на данный момент в стиме на Казахстанский аккаунт. Или что будет если мне её подарят? Стримить, рекламировать её я не собираюсь."
8315,"Семья, дети и отношения","Брак, ЗАГС и личные отношения",Проверить право/законность,"Авто, ДТП, штрафы и транспорт",406,"Можно ли как то исправить ситуацию? Ситуация вот какая, муж за день до работы выпил много алкоголя, утром сел за руль и по пути попался экипаж ГАИ. На требование остановиться он проигнорил и поехал дальше на работу, в следствие чего получилась погоня, у работы его забрали оформили протокол. Первый штраф в 7тысяч уже пришел. Можно ли как спасти права? На сколько лишат в такой ситуации? Какой дадут штраф?"
8316,"Недвижимость, жильё и земля","Покупка, продажа и риски сделки",Проверить право/законность,"Соцподдержка, пенсии, инвалидность и льготы, Суды, иски и защита прав, Бизнес, ИП, самозанятость и налоги",238,"Добрый день! Подскажите правомерно ли действия налоговой, у меня куплены 2 квартиры в ипотеку, при получении налогового вычета в упрощенном порядке, мне выплатили вычет на квартиру где меньший процент по ипотеке, могу ли я это обжаловать?"
8317,"Долги, кредиты, банки и приставы","Банковские карты, счета и удержания","Понять, что делать","Суды, иски и защита прав",456,"Добрый день. Подскажите, долг по кредиту, 485 тыс. Судебный приказ был отменён, сейчас банк обратился с иском в мировой суд, а должен был в районный в соответствии с суммой. Я подала возражение, чтобы передали по подсудности. Сегодня было заседание, вынесено решение о передаче дела по подсудности в районный суд. Вопрос вот в чем: там также будут этапы рассмотрения: беседа, заседание? Или что-то будет ускорено за счет того, что дело было в мировом суде?"
8318,"Военная служба, мобилизация и СВО",Мобилизация и воинский учёт,"Понять, что делать","Миграция, гражданство и въезд в РФ, Документы, реестры и персональные данные",207,"Вопрос ""Сын. Возраст 24 года. С 2018 г живёт в Израиле. Получил гражданство. Там отслужил. В РФ на воинском учёте не стоит. Гражданский и загран паспорта РФ просрочены. Могут ли призвать на срочную службу? """
8319,"Соцподдержка, пенсии, инвалидность и льготы","Льготы, соцпомощь и компенсации",Оценить риски сделки/действия,"Работа, зарплата и трудовые права, Бизнес, ИП, самозанятость и налоги",1152,"По 1 списку вредности работал на предприятии АО «Карболит» с [контакт скрыт платформой]г. по [контакт скрыт платформой]г.; в сумме 3года; 8 месяцев; 25 дней знал, что по закону уйду на пенсию в 60 лет (чтобы уйти на пенсию по льготным основаниям в 55 лет надо отработать 5 лет). Все налоги и в том числе по вредности соответственно уплачены. Действующий Федеральный закон № 400-ФЗ от [контакт скрыт платформой]г. п. 1 ч. 1. ст. 30 с того времени по сути не изменился, стал более социальным и имеет возрастные ограничения для мужчин - это 60 лет. Добавлено: …, установленного статьей 8 настоящего Федерального закона по состоянию на 31 декабря 2018 года,... Здесь же часть 4: Периоды работы (деятел..."
8320,"Семья, дети и отношения",Развод и раздел имущества,Проверить право/законность,"Документы, реестры и персональные данные",133,Как можно удалить личные данные в сети интернет? Не хочу чтобы информация о разводе была доступна всем. Можно ли скрыть фамилии имена
8321,"Авто, ДТП, штрафы и транспорт",Купля-продажа и регистрация авто,Оформить/получить,"Бизнес, ИП, самозанятость и налоги, Документы, реестры и персональные данные",774,"Появился насущный вопрос, покупал авто за крипту из другой страны, так как другой оплаты на то время не было, прошел уже почти год и авто хочу продать, вопрос, каков шанс что я получу штраф за оплату криптой и есть ли шанс его не получить? Как доказать налоговой стоимость авто, чтобы не уплатить со всей суммы налог, есть инвойс на оплату авто, Хэш транзакции, есть из таможни выписка со стоимостью авто в рублях и стоимостью таможни и печатями от таможни. Так же есть договор с компанией которая привезла мне авто, в ней так же указаны все точные суммы затрат на авто все с печатями и подписями, авто встало на учет без проблем, сумму в гаи указывалась по дкп которые получаешь от таможни со сто..."
8322,"Семья, дети и отношения",Развод и раздел имущества,Документы и сроки,"Недвижимость, жильё и земля",445,"Сгорели склады, мы арендаторы. Склады сгорели по вине третьих лиц - соседей. Хотим расторгнуть договор по соглашению сторон (предложить арендодателю) чтобы сохранить обеспечительный платеж. Помещение к использованию непригодно. Подскажите что грамотнее указать в самом соглашении о расторжении по соглашению сторон? Указывать ли что помещение непригодно в виду пожара по вине третьих лиц? И как указать о возвращаемости обеспечительного платежа?"
8323,"Недвижимость, жильё и земля","Регистрация, прописка и выселение","Понять, что делать",,294,"Родственник продает дом и просит выписаться из дома, при этом обещал прописать у себя в квартире, а через некоторое время отказывается это делать. Как я понимаю, у него нет намерений предоставлять место для прописки и у меня нет возможности куда-то прописаться, как поступить в данной ситуации?"
8324,"Семья, дети и отношения","Брак, ЗАГС и личные отношения",Документы и сроки,"Работа, зарплата и трудовые права, Соцподдержка, пенсии, инвалидность и льготы, Уголовные вопросы, полиция и безопасность",533,"2 месяца назад мой муж сбил человека на нерегулируемом пешеходном переходе. Человек жив, но есть переломы. Муж навестил через неделю пострадавшую, после чего договорились, что он будет помогать как сможет. Он официально не работает, я работаю простым педагогом, з/п 30000 рублей. И они обозначили что ей нужна сиделка и каждые 5 дней нужно оплачивать по 12 500 рублей. Выплатили уже 92 000 рублей, а следователь еще не звонил. Пострадавшая спрашивает что будем делать дальше? Мне не понятно что будет дальше и что хочет пострадавшая?"
8325,"Семья, дети и отношения",Алименты и содержание детей,Подать заявление/иск/жалобу,"Суды, иски и защита прав, Долги, кредиты, банки и приставы, Соцподдержка, пенсии, инвалидность и льготы",607,"Ситуация: Есть несколько решений суда о взыскании пеней по неуплаченной суммы алиментов. Планируем подать иск об отмене начисленных пеней на неуплаченную сумму алиментов. Какой размер госпошлины при подаче иска? Если есть, то Какой срок давности по сумме отмены / снижения суммы пеней? Т. е. если решения суда по выплате пеней было в 2022 году, можно в 2026 включать в сумму иска сумму пеней 2022 года? Можно объединить в одном иске суммы пеней, отраженных в нескольких решений суда по выплате алиментов? Есть разница между отменой пеней по алиментам и снижением суммы отраженных в вынесенных решениях суда?"
8326,"Военная служба, мобилизация и СВО",Гибель военнослужащего и права семьи,Документы и сроки,"Семья, дети и отношения, Наследство, завещание и дарение, Соцподдержка, пенсии, инвалидность и льготы",279,Здравствуйте подскажите как называется документ? Мой брат ушел на СВО сейчас без вести пропавший. При подписании контракта он указал что при случаи его смерти все выплаты на меня на сестру. Законо это или нет. Но у него есть ребенок. Будут ли проблемы у меня с получением выплат?
8327,"Долги, кредиты, банки и приставы","Банковские карты, счета и удержания",Проверить право/законность,"Наследство, завещание и дарение, Авто, ДТП, штрафы и транспорт, Военная служба, мобилизация и СВО",729,"Здравствуйте! В декабре 2025 года наша мама погибла в результате пожара, оставив после себя автокредит и залоговый автомобиль. Изначально мы планировали вступить в права наследования и в течение трёх месяцев вносили платежи в счёт погашения долга. Мы также уведомили банк о смерти заёмщика. Однако, после тщательного обдумывания и обсуждения, мы решили не оформлять наследство. Посчитав, что проценты по кредиту слишком высоки, мы сообщили об этом банку. Банк запросил фотографии залогового автомобиля, которые мы отправили. На машине имеются повреждения: вмятины и царапины. Имеет ли банк право предъявлять нам какие-либо претензии за эти повреждения, если мы не будем вступать в наследство? У на..."
8328,"Недвижимость, жильё и земля","Покупка, продажа и риски сделки",Документы и сроки,"Семья, дети и отношения, Наследство, завещание и дарение, Бизнес, ИП, самозанятость и налоги",417,"Добрый день! У моего отца была в собственности квартира с 2009 года, и он в 2023 году подарил ее мне (через договор дарения) И вот сейчас я хочу ее продать. 3-х лет еще не прошло. Нужно ли мне будет платить налог за продажу или нет? А то в интернете разная информация, то написано что срок владения исчисляется с даты владения отцом, в других источниках дата берется после того как он мне ее подарил и мы оформили ее."
8329,"Миграция, гражданство и въезд в РФ",Регистрация и сроки пребывания,Проверить право/законность,"Образование, школа и вуз",729,"Я являюсь гражданкой Украины, проживаю в городе Николаев. Планирую после окончания школы поступать в вуз Российской Федерации. Подскажите, пожалуйста: 1. Могу ли я поступать без сдачи ЕГЭ как иностранный гражданин? 2. Возможно ли сдавать внутренние вступительные экзамены в вузе вместо ЕГЭ? 3. Имею ли я право поступать на бюджетные места (в том числе по квоте или как соотечественник)? 4. Какие документы необходимо подготовить, если аттестат будет украинский? Также прошу разъяснить: 1. Могу ли я воспользоваться упрощённой процедурой получения гражданства РФ? 2. Какие документы для этого необходимы? 3. Обязательно ли иметь регистрацию по месту пребывания для подачи на гражданство? 4. Можно л..."
8330,"Недвижимость, жильё и земля","Земля, гараж, кадастр и Росреестр",Оформить/получить,"Наследство, завещание и дарение",358,"Имеются два прямых наследника: 1 сын от первого брака 28лет, 2 сын от второго брака 10лет. На данный момент разведен. Имею в собственности земельный участок зарегистрированный и на нем жилой дом, который еще не зарегистрирован. Хочу оформить договор дарения всего имущества и участка на 2-го сына. Будут ли шансы у первого сына отсудить часть дома и участка?"
8331,"Семья, дети и отношения",Развод и раздел имущества,Документы и сроки,"Соцподдержка, пенсии, инвалидность и льготы",163,"Здравствуйте, у меня муж числится пропавшим без вести. У него есть двое детей, совместных нет, есть у него мать. какие то выплаты полагаются мне как законной жене?"
8332,"Работа, зарплата и трудовые права","Зарплата, премии и индексация",Оформить/получить,"Долги, кредиты, банки и приставы, Соцподдержка, пенсии, инвалидность и льготы, Документы, реестры и персональные данные",775,"Здравствуйте. Имеет ли право работодатель требовать паспорт для получения заработной платы, якобы для расчёта? Работала на предприятии неофициально. Выплаты постоянно задерживали, и в итоге задержки достигли 1, 5 месяца. Те, кто ушли люди ранее, им просто не выплачивали. В этот раз большая часть коллектива собралась и написала заявление в прокуратуру. Прокуратура обязала работодателя рассчитаться с нами до конца месяца и оформить официально людей. Но никто сейчас уже не хочет туда идти по официальному договору, а просто хотим получить то, что заработали, и всё. Работодатель в свою очередь требует для получения выплат наши паспорта, якобы для расчёта и чтобы мы отозвали свое заявление. Сму..."
8333,"Долги, кредиты, банки и приставы",Приставы и исполнительное производство,Документы и сроки,"Военная служба, мобилизация и СВО, Семья, дети и отношения, Наследство, завещание и дарение",315,Здравствуйте. Погиб должник по алиментам. Я попросила у пристава справку об оставшемся долге на дату смерти должника. Может ли пристав закрыть исполнительное производство до того как мне будет предоставлена эта справка? И через сколько по закону после запроса о доходах должника пристав должна предоставить справку?
8334,"Недвижимость, жильё и земля","ЖКХ, коммунальные платежи и УК",Проверить право/законность,"Потребители, покупки и услуги, Уголовные вопросы, полиция и безопасность, Семья, дети и отношения",1603,"Доброго дня! На данный момент проживаю с супругом в новостройке, дому год. На приеме квартире при подписании Акта приема-передачи квартиры, собственников добровольно-принудительно обязывали подписывать голосование по выбору УК. На тот момент альтернатив в выборе не было, а те собственники, кому выдавали ключи не в общей очереди (по датам) или кто отказывался голосовать, в итоге в ГИС ЖКХ обнаруживали что они согласовали УК. На данный момент в нашем ЖК со стороны УК неоднократно нарушалось качество оказанных услуг. Например, летом не было недели горячей воды (все заявки зарегистрированы), своего добились только путем угрозы направления заявки в контролирующие органы. Уборка проводится поср..."
8335,"Военная служба, мобилизация и СВО",Статус ветерана и льготы участникам,Документы и сроки,"Работа, зарплата и трудовые права",298,"Здравствуйте, произошла такая ситуация. Мне уезжать на СВО, написал рапорт на ветеранский отпуск, тоже за СВО(но не суть) Командир полка написал на рапорте такие слова, как ""перенос на более поздний срок в связи со служебной необходимостью"" Это законно? Не нарушает закон о статусе военнослужащего?"
8336,"Долги, кредиты, банки и приставы",Судебный приказ по долгу,Подать заявление/иск/жалобу,"Суды, иски и защита прав",115,Как написать в суд ходатайство о восстановлении пропущенного срока для подачи заявления об отмене судебного приказа
8337,"Долги, кредиты, банки и приставы",Коллекторы и взыскание долгов,Документы и сроки,,237,"Здравствуйте, я занял в МФО 12. 000 рублей, взыскание на одной карте по причине взыскание задолженности от МФО на 54 тысячи. И к сожалению, заемные деньги отправились на карту где происходит арест-взыскание. Могу ли я вернуть эти деньги?"
8338,"Авто, ДТП, штрафы и транспорт","Штрафы, ПДД и лишение прав","Понять, что делать",,494,"Здравствуйте! Подскажите, пожалуйста, по следующей ситуации. У меня был один штраф за несвоевременную подачу годового отчёта, оплатила его спустя пол года, сейчас будет штраф за нахождении в России после окончания РВП. Официально после его завершения вылетела на 13-ый день. Скажите, пожалуйста, могут ли мне сразу установить запрет после получения штрафа за поздний отлёт учитывая, что первый штраф уже оплачен? Могут ли вообще не пустить после отъезда? Отказать, когда полки на новый РВП/ВНЖ?"
8339,"Авто, ДТП, штрафы и транспорт",Купля-продажа и регистрация авто,Документы и сроки,,230,Добрый день. Помогите пожалуйста Я продал машину спустя 2 недели снял с учёта (29 числа) затем мне пришло уведомление от банка что моя машина была поставлена под залог 26 числа в каких то банках. Будут ли у меня какие-то проблемы?
